Region,Sub region,Country,Indicator,Year of Date.Report,Month of Date.Report,Max. Sort.Order,Value
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2019,December,361,4
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2019,December,360,15
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,10
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2019,November,361,7
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2019,November,360,17
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,6
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2019,October,361,10
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2019,October,360,16
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,3
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2020,April,361,3
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2020,April,360,6
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,7
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2020,March,361,7
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2020,March,360,14
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,6
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2020,February,361,10
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2020,February,360,16
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,10
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related Fraud : number of offences,2020,January,361,11
Americas,Latin America and the Caribbean,THE BAHAMAS,Cybercrime - number of offences,2020,January,360,21
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2019,December,361,730
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2019,November,361,917
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2019,October,361,726
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2020,April,361,723
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2020,March,361,971
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2020,February,361,928
Asia,Central Asia,KAZAKHSTAN,Cyber-related Fraud : number of offences,2020,January,361,755
Asia,Central Asia,UZBEKISTAN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,15
Asia,Central Asia,UZBEKISTAN,Cyber-related Fraud : number of offences,2019,November,361,9
Asia,Central Asia,UZBEKISTAN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,20
Asia,Central Asia,UZBEKISTAN,Cyber-related Fraud : number of offences,2020,April,361,2
Asia,Central Asia,UZBEKISTAN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,13
Asia,Central Asia,UZBEKISTAN,Cyber-related Fraud : number of offences,2020,March,361,0
Asia,Central Asia,UZBEKISTAN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,0
Asia,Central Asia,UZBEKISTAN,Cyber-related Fraud : number of offences,2020,February,361,4
Asia,Central Asia,UZBEKISTAN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,14
Asia,Central Asia,UZBEKISTAN,Cyber-related Fraud : number of offences,2020,January,361,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,1
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2019,December,361,24
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2019,December,360,44
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2019,November,361,32
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2019,November,360,61
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2019,October,361,30
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2019,October,360,59
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,1
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,August,361,45
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,August,360,78
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,1
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,July,361,43
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,July,360,67
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,June,361,34
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,June,360,49
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,May,361,29
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,May,360,57
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,3
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,April,361,34
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,April,360,58
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,March,361,61
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,March,360,91
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,0
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,February,361,18
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,February,360,39
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,1
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cyber-related Fraud : number of offences,2020,January,361,8
Asia,Eastern Asia,"CHINA, MACAO SPECIAL ADMINISTRATIVE REGION",Cybercrime - number of offences,2020,January,360,50
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2019,December,361,11
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2019,December,360,17
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2019,November,361,7
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2019,November,360,25
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2019,October,361,8
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2019,October,360,35
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,August,361,15
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,August,360,25
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,July,361,12
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,July,360,15
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,June,361,10
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,June,360,17
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,May,361,5
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,May,360,20
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,April,361,8
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,April,360,17
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,March,361,12
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,March,360,24
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,February,361,10
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,February,360,15
Asia,Eastern Asia,MONGOLIA,Cyber-related Fraud : number of offences,2020,January,361,12
Asia,Eastern Asia,MONGOLIA,Cybercrime - number of offences,2020,January,360,23
Asia,South-eastern Asia,MYANMAR,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,4
Asia,South-eastern Asia,MYANMAR,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,22
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,0
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2019,December,361,9
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2019,December,360,9
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,3
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2019,November,361,9
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2019,November,360,12
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,5
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2019,October,361,8
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2019,October,360,13
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,1
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2020,April,361,5
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2020,April,360,6
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,4
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2020,March,361,2
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2020,March,360,6
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,4
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2020,February,361,6
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2020,February,360,10
Asia,Southern Asia,MALDIVES,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,2
Asia,Southern Asia,MALDIVES,Cyber-related Fraud : number of offences,2020,January,361,7
Asia,Southern Asia,MALDIVES,Cybercrime - number of offences,2020,January,360,9
Asia,Western Asia,GEORGIA,Cybercrime - number of offences,2019,December,360,201
Asia,Western Asia,GEORGIA,Cybercrime - number of offences,2019,November,360,138
Asia,Western Asia,GEORGIA,Cybercrime - number of offences,2019,October,360,140
Asia,Western Asia,GEORGIA,Cybercrime - number of offences,2020,March,360,213
Asia,Western Asia,GEORGIA,Cybercrime - number of offences,2020,February,360,140
Asia,Western Asia,GEORGIA,Cybercrime - number of offences,2020,January,360,180
Asia,Western Asia,LEBANON,Cybercrime - number of offences,2019,December,360,0
Asia,Western Asia,LEBANON,Cybercrime - number of offences,2019,November,360,0
Asia,Western Asia,LEBANON,Cybercrime - number of offences,2019,October,360,1
Europe,Eastern Europe,BELARUS,Cyber-related Fraud : number of offences,2019,December,361,393
Europe,Eastern Europe,BELARUS,Cyber-related Fraud : number of offences,2019,November,361,320
Europe,Eastern Europe,BELARUS,Cyber-related Fraud : number of offences,2019,October,361,315
Europe,Eastern Europe,BELARUS,Cyber-related Fraud : number of offences,2020,March,361,364
Europe,Eastern Europe,BELARUS,Cyber-related Fraud : number of offences,2020,February,361,235
Europe,Eastern Europe,BELARUS,Cyber-related Fraud : number of offences,2020,January,361,179
Europe,Eastern Europe,CZECHIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,9
Europe,Eastern Europe,CZECHIA,Cyber-related Fraud : number of offences,2019,December,361,394
Europe,Eastern Europe,CZECHIA,Cybercrime - number of offences,2019,December,360,832
Europe,Eastern Europe,CZECHIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,13
Europe,Eastern Europe,CZECHIA,Cyber-related Fraud : number of offences,2019,November,361,645
Europe,Eastern Europe,CZECHIA,Cybercrime - number of offences,2019,November,360,1107
Europe,Eastern Europe,CZECHIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,8
Europe,Eastern Europe,CZECHIA,Cyber-related Fraud : number of offences,2020,April,361,369
Europe,Eastern Europe,CZECHIA,Cybercrime - number of offences,2020,April,360,628
Europe,Eastern Europe,CZECHIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,3
Europe,Eastern Europe,CZECHIA,Cyber-related Fraud : number of offences,2020,March,361,325
Europe,Eastern Europe,CZECHIA,Cybercrime - number of offences,2020,March,360,621
Europe,Eastern Europe,CZECHIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,4
Europe,Eastern Europe,CZECHIA,Cyber-related Fraud : number of offences,2020,February,361,338
Europe,Eastern Europe,CZECHIA,Cybercrime - number of offences,2020,February,360,671
Europe,Eastern Europe,CZECHIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,9
Europe,Eastern Europe,CZECHIA,Cyber-related Fraud : number of offences,2020,January,361,371
Europe,Eastern Europe,CZECHIA,Cybercrime - number of offences,2020,January,360,815
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,479
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2019,December,361,2294
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,430
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2019,November,361,1383
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,441
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2019,October,361,2855
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,387
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2020,April,361,1222
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,378
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2020,March,361,737
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,385
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2020,February,361,1207
Europe,Eastern Europe,HUNGARY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,329
Europe,Eastern Europe,HUNGARY,Cyber-related Fraud : number of offences,2020,January,361,746
